cliente_id,nombre,edad,ciudad,segmento,ingresos_mensuales,antiguedad_meses,score_credito,riesgo_churn_prob
1,Diana S.,37,Medellín,SME,5622201,140,458,0.351
2,Mauricio Peña,28,Barranquilla,SME,2279600,124,545,0.346
3,Juan Camilo,55,Barranquilla,Mass,11027141,33,870,0.344
4,Fabio Ruiz,55,Cartagena,SME,4703157,101,592,0.374
5,Lucía Bernal,53,Pereira,Mass,10049851,12,560,0.526
6,Mariana Quintero,25,Medellín,Mass,19962804,67,661,0.365
7,Luisa Navarro,62,Cali,Affluent,22174571,65,639,0.329
8,Sebastián G.,59,Bogotá,Affluent,19729899,74,545,0.351
9,Felipe Castro,61,Bucaramanga,SME,18981862,43,477,0.547
10,Juan Pérez,48,Bogotá,Mass,21844716,44,567,0.455
11,Natalia Silva,27,Manizales,SME,1649395,29,895,0.391
12,Hernán Gutiérrez,29,Bogotá,SME,23121117,141,875,0.163
13,Susana P.,28,Cali,SME,7954350,12,736,0.498
14,Nicolás Prieto,32,Bogotá,Affluent,19237602,95,802,0.193
15,Tomás R.,54,Medellín,Affluent,21031606,46,780,0.306
16,Luis Gómez,53,Medellín,Mass,24996647,130,842,0.151
17,Laura C.,68,Barranquilla,Mass,4579569,35,420,0.539
18,Andrés V.,43,Cartagena,SME,4100603,81,806,0.321
19,Daniela Rojas,44,Pereira,SME,16909289,90,880,0.269
20,Esteban Ríos,57,Bucaramanga,Mass,12555805,8,767,0.442
21,Karina Quiceno,55,Manizales,Mass,9811474,93,609,0.333
22,Mateo C.,64,Bogotá,Mass,2846711,90,610,0.339
23,Gabriela Pineda,60,Bogotá,Mass,23564990,115,788,0.207
24,Valeria Parra,42,Cali,SME,17663634,105,828,0.26
25,Leidy Gómez,47,Cartagena,Mass,7519707,135,731,0.19
26,Miguel Fernández,55,Medellín,Mass,9167801,58,836,0.306
27,Diego León,21,Bucaramanga,Mass,2623286,114,841,0.185
28,Sara P.,55,Barranquilla,Mass,4895961,75,536,0.403
29,Camila Hernández,57,Medellín,Mass,9417316,120,553,0.301
30,Santiago C.,67,Manizales,Affluent,21155161,21,477,0.494
31,Valentina Morales,34,Cartagena,Affluent,8548340,138,463,0.253
32,Raúl Cabrera,23,Manizales,Mass,13002429,101,592,0.324
33,Natalia S.,21,Pereira,Mass,1383062,99,579,0.334
34,Mónica Peña,25,Barranquilla,Mass,4041992,36,592,0.461
35,Mónica P.,46,Pereira,Affluent,5494539,96,736,0.22
36,Laura López,34,Cali,Mass,12809076,37,722,0.401
37,Cristian Rojas,59,Manizales,Mass,16258560,12,568,0.522
38,Melissa Cifuentes,47,Cali,SME,7295929,113,499,0.389
39,Andrés Escobar,29,Bogotá,Mass,6144505,13,793,0.42
40,Diana Castillo,35,Pereira,SME,2003328,23,632,0.521
41,Kevin Ortiz,35,Cartagena,Mass,22040174,99,622,0.314
42,Juliana Serrano,46,Manizales,Mass,2243233,105,671,0.28
43,Sofía Torres,62,Bucaramanga,Affluent,24445919,30,648,0.399
44,Esteban R.,33,Barranquilla,Affluent,11300349,17,583,0.455
45,Oscar Salazar,52,Medellín,SME,1729525,113,646,0.324
46,Sebastián Arias,59,Cartagena,Mass,16912815,62,566,0.417
47,Carolina R.,69,Cartagena,Mass,14851544,84,439,0.427
48,Tomás Rincón,52,Cali,Mass,18153831,112,860,0.181
49,Jhonatan Pulido,24,Pereira,Affluent,22359148,86,821,0.203
50,Santiago Vargas,50,Manizales,Mass,24642304,141,466,0.295
51,Isabela Cárdenas,57,Manizales,SME,8674447,19,652,0.52
52,Ana Martínez,43,Bogotá,Mass,5801020,100,724,0.267
53,Ricardo Mendoza,59,Bogotá,Mass,16326502,140,433,0.312
54,Daniel Muñoz,65,Barranquilla,SME,4899391,76,562,0.44
55,Andrés Ramírez,35,Cali,Affluent,11274901,9,834,0.36
56,Daniela G.,63,Cartagena,SME,16132828,28,420,0.604
57,Jorge Díaz,49,Manizales,Mass,24983670,128,792,0.178
58,Brayan Torres,56,Bucaramanga,Mass,4812610,52,473,0.48
59,Catalina Barón,33,Cali,Mass,16392217,83,793,0.272
60,Isabela C.,52,Barranquilla,SME,20141583,111,678,0.314
61,Ángela Duarte,27,Barranquilla,Mass,11492658,117,563,0.303
62,Catalina B.,42,Cali,Mass,1344356,69,890,0.259
63,Sergio Rojas,48,Barranquilla,Mass,13986773,99,860,0.209
64,Iván Lozano,22,Cali,Mass,2948014,140,878,0.114
65,Alejandra Niño,62,Medellín,Mass,8356720,25,431,0.556
66,Jenny Paola,65,Cali,Mass,17942125,123,749,0.207
67,Eliana Acosta,26,Pereira,Mass,13861693,53,643,0.402
68,Germán López,48,Cali,Affluent,3488627,57,691,0.322
69,Adriana Castaño,48,Barranquilla,SME,16040260,39,875,0.379
70,Nicolás P.,64,Manizales,Mass,24495179,109,777,0.224
71,Valentina T.,64,Pereira,Mass,7797519,42,879,0.321
72,Lina Ramírez,40,Barranquilla,Affluent,18741337,142,827,0.082
73,Tatiana Rincón,50,Bogotá,Mass,10758356,122,575,0.287
74,Yasmin Perdomo,31,Bogotá,Mass,21479846,133,792,0.167
75,Juliana S.,48,Manizales,Mass,12170723,75,427,0.452
76,Julián Mora,45,Manizales,Mass,6898848,76,541,0.399
77,Felipe M.,59,Pereira,Affluent,17247357,9,767,0.39
78,Sara Pardo,53,Medellín,Mass,19084893,74,583,0.385
